slug,page_name,url,copy_file,html_snapshot
"home","Home","https://yauum.com/","pages/home.md","snapshot-html/home.html"
"our-services","Our Services","https://yauum.com/our-services/","pages/our-services.md","snapshot-html/our-services.html"
"production","Production","https://yauum.com/production/","pages/production.md","snapshot-html/production.html"
"hoodie-manufacturer","Hoodie Manufacturer","https://yauum.com/hoodie-manufacturer/","pages/hoodie-manufacturer.md","snapshot-html/hoodie-manufacturer.html"
"t-shirt-manufacturer","T-Shirt Manufacturer","https://yauum.com/t-shirt-manufacturer/","pages/t-shirt-manufacturer.md","snapshot-html/t-shirt-manufacturer.html"
"jackets-manufacturer","Jackets Manufacturer","https://yauum.com/jackets-manufacturer/","pages/jackets-manufacturer.md","snapshot-html/jackets-manufacturer.html"
"pants-manufacturer","Pants Manufacturer","https://yauum.com/pants-manufacturer/","pages/pants-manufacturer.md","snapshot-html/pants-manufacturer.html"
"sportswear-manufacturer","Sportswear Manufacturer","https://yauum.com/sportswear-manufacturer/","pages/sportswear-manufacturer.md","snapshot-html/sportswear-manufacturer.html"
"streetwear-manufacturer","Streetwear Manufacturer","https://yauum.com/streetwear-manufacturer/","pages/streetwear-manufacturer.md","snapshot-html/streetwear-manufacturer.html"
"solutions","Solutions","https://yauum.com/solutions/","pages/solutions.md","snapshot-html/solutions.html"
"contact-us","Contact Us","https://yauum.com/contact-us/","pages/contact-us.md","snapshot-html/contact-us.html"
"about-us","About Us","https://yauum.com/about-us/","pages/about-us.md","snapshot-html/about-us.html"
"blog","Blog","https://yauum.com/blog/","pages/blog.md","snapshot-html/blog.html"
